"ID","name","event","room","startTime","endTime","sessionDate","isSponsored","isActivity","tags","description","sessionSurvey","sessionsFavoritedCount","answersInputedCount","averageRates",
"25","Pre-Class: Web & Mobile for 4D (English)","2","Européen","09:30","12:30","2012-11-14T12:00:00.000Z",,"false","4D Pre-Class (English)","This training has been specially created to give an overview of the possibilities 4D offers in terms of Web develompent. Today's users have high expectations in terms of application mobility. They need to access their applications from wherever they are, anywhere they may be. The use of the iPad, iPhone and Android devices has futhermore built up these expectations. The 4D pre-class scheduled for Wednesday, 14 November will deliver all the information you need to ""webify"" your existing 4D solutions for use with all the smartphones and tablets on the market.   Topics include: Understanding 4D's web server Back-end development Front-end development Frameworks Developing for desktop web Developing for mobile web Session Management Security 4D Tags","1","1","43","3.575",
"26","Pre-Class Lunch","2","","12:30","13:30","2012-11-14T12:00:00.000Z","false","true",,,,,"0",,
"32","Continental Breakfast ","2","Market Street Foyer","07:00","08:30","2012-10-25T19:19:00.000Z",,"true",,,,,"0",,
"125","Coffee Break","2",,"10:30","10:45","2012-11-15T10:50:00.000Z",,"true",,,,,"0",,
"123","Pre-Class continues (French)","2","Parisien","13:30","17:30","2012-11-14T12:00:00.000Z",,,"Pre-Class continues (French)","This training has been specially created to give an overview of the possibilities 4D offers in terms of Web develompent. Today's users have high expectations in terms of application mobility. They need to access their applications from wherever they are, anywhere they may be. The use of the iPad, iPhone and Android devices has futhermore built up these expectations. The 4D pre-class scheduled for Wednesday, 14 November will deliver all the information you need to ""webify"" your existing 4D solutions for use with all the smartphones and tablets on the market.   Topics include: Understanding 4D's web server Back-end development Front-end development Frameworks Developing for desktop web Developing for mobile web Session Management Security 4D Tags","1",,"51","4.7",
"30","Welcome Coffee","2","Salon France","08:00","9:00","2012-11-15T10:51:00.000Z",,"true",,,,,"0",,
"31","Lunch","2","","12:45","02:00",,,"true",,,,,"0",,
"33","4D Summit Keynote","2","Salon France","09:00","10:30","2012-11-15T10:53:00.000Z",,"false","Summit Keynote","4D Summit Keynote","1","1","61","3.7666666666666666",
"34","Continental Breakfast","2","Market Street Foyer","07:00","08:30","2012-10-25T23:57:00.000Z",,"true",,,,,"0",,
"35","Keynote 4D SAS (Customer preso/Case)","2","Regency Ballroom","08:00","09:00","2012-10-25T23:57:00.000Z",,"true",,,,,"0",,
"36","Optimization: The Next Level","2","France","11:45","12:40","2012-11-15T19:01:00.000Z",,,"Best Practices","We all know that 4D is the fastest database engine. In the whole universe. And we all know the application engine that runs the 4D language is incredibly fast.   That said, there's still room for improvement. We can optimize code execution, of course, but also optimize database access and speed in client/server mode. There are some big points, as well as smaller ones. In this session, after a quick reminder of last year's ""Optimization"" session – very quick, just a summary for those who missed it – we will focus once again on common sense, and on client/server database access. We'll also go over some pure language tricks.   We'll try to optimize the session itself with different presentation techniques and, at the end, you will know everything in less than 4.2 minutes. Maybe.","1","1","153","4.580536912751678",
"37","Master Web Data with 4D v13 and JSON ","2","Crystal","09:15","10:15","2012-10-26T00:44:00.000Z",,,"Web, Development, Modernization","Since 4D v13 introduced native HTTP calls, it’s now easier than ever to pull data from the Internet or an internal Web server to use in your 4D application. The JSON (JavaScript Object Notation) data format is extremely popular for Web Data, but how do you use it?  This session will show you how to retrieve data in JSON format and, by using a 4D component, translate it to 4D. You’ll see real world examples that demonstrate the power and ease of the process, quickly integrating the latest Web technology into your 4D application.","1","1","0","4.741071428571429",
"38","Get Configuration - 70 Commands Explained","2","Gold","09:15","10:15","2012-10-25T23:57:00.000Z",,,"Beginner, Development","4D v13 comes with several commands that return information about the configuration, information about the database itself, 4D environment or the computer settings. The purpose of this session is to showcase those commands. Learn how one method – almost 2000 lines of code – generates a document with the information returned by those commands.","1",,"0",,
"39","Benchmark your Storage System Performance","2","Versaillais","10:30","11:25","2012-11-16T11:08:00.000Z",,,"Deployment","As the number of users and data size grow, disk speed is becoming increasingly important, as it is the main performance bottleneck for database systems. In virtualized environments, for example, a poorly configured storage system could slow down a database server drastically.  In many cases, it’s difficult or even impossible to convince the storage system administrator that their system is not up to speed. This session will give you the tools you need to benchmark and verify disk access requirements, and hopefully convince the IT department to upgrade their hard drives or SSDs!  To increase acceptance from enterprise IT departments, this session will focus on a (free) tool from Microsoft – SQLIO – which is used to test storage systems on MS SQL Server and MS Exchange. We’ll explain how to use SQLIO and analyze the reports it produces, allowing IT admins to verify and optimize the storage system using Microsoft tools and Microsoft best practice documents.  Furthermore, we’ll provide a 4D component to make usage even easier with a graphical interface that creates human readable reports, including charts. This component can be integrated into your system, letting you run benchmarks regularly, i.e. on weekends, or run separately. It also helps prepare DOS batch files to run on customer machines that often only have Microsoft tools installed.","1","1","10","5",
"40","Web Area Mashups","2","Parisien","15:00","15:55","2012-11-15T21:56:00.000Z",,,"Development","Did you know that you can use 4D Web Areas to create an image editor within a 4D database? It’s true! You can do it using HTML5’s canvas tag along with JavaScript. The canvas element makes it easy to draw graphics and even manipulate images using JavaScript.  This session will demonstrate how Web Areas can be used to draw and edit images, making your 4D applications more beautiful and functional.","1","1","30","3.5",
"41","Consistent UI for Cross-Platform Development","2","Parisien","11:45","12:40","2012-11-15T19:04:00.000Z",,,"Best Practices, Deployment","One of the best things about the 4D database is that a single codebase can be deployed on both Mac and Windows. However, the most challenging task is creating a consistent user interface for both platforms in which the application appears and behaves as expected. This session will cover some of the basic fundamentals of cross-platform user interfaces. It will also focus on the Dos and Don’ts and other considerations to make sure that the final result is acceptable for both platforms.","1","1","0","4.165",
"42","Lunch","2","","12:45","2:00","2012-11-15T19:08:00.000Z",,"true",,,,,"0",,
"43","iOS, Android and 4D","2","Regency Ballroom","12:45","13:45","2012-10-25T23:57:00.000Z",,,"Modernization, Development","The world is going mobile. Are you ready?  This session will show you how to get your 4D application ready for a user base that demands more solutions to be available on iOS and Android.  You’ll learn about communicating with 4D from an Android or iOS device, as well as the similarities and differences between them. We’ll go over your options for the communication layer. We’ll do a brief code review of what all this involves. And we’ll look at how Push Notifications work on both Android and iOS – and more importantly – how we send Push Notifications from a 4D application.","1","1","0","4.609375",
"44","Taking Revision Control to the Playoffs","2","Européen","14:00","14:55","2012-11-15T21:28:00.000Z",,,"Development, Best Practice","By now you’ve likely heard of or tried the CodeExport component. Guess what? It merely scratches the surface of Revision Control (RC) and 4D. Sure, it exports all the methods, but what happens if a method is deleted or renamed? What happens if your RC software requires direct action to create a new file? It’s time to take RC integration with 4D to the next level!  The solution comes via a one-two punch: First, a generic RC component framework provides hooks for common RC tasks (create, update, rename, delete). Second, by extending this framework, tightly integrated RC components elevate 4D’s game in a big way. Don’t miss all the hits!","1","1","50","3.15",
"45","4D v13 Upgrade Training Highlights- Part I","2","Versaillais","15:00","15:55","2012-11-15T21:33:00.000Z",,,"Best Practices, Development, Upgrade","There are so many new features in 4D v13 that a whole day isn't nearly enough to demonstrate them all...   ...so, we have added this session to present you some of the highlights that we could not fit into Part I. You'll learn underlying upgrade techniques, how they work, and how you can implement them in your applications. Ready-to-use samples are provided. Topics include Progress bar component Hierarchical lists Split text New events and database methods List boxes and footers Accessing the database structure New spell checker Getters and setters HTTP client","1",,"30","2.8",
"46","Google Apps Integration","2","Versaillais","16:30","17:25","2012-11-16T11:10:00.000Z",,,"Modernization","The Google Apps API allows developers to write applications that access Google applications such as Gmail, Google Calendar and Google Docs. Libraries written and supported by Google exist for languages such as Java, JavaScript, .NET, PHP, Python...but what about 4D?  In this session, we explore ways to access Google Apps from the 4D language. First, we go through the various requirements for desktop applications (as opposed to web applications) to register as a Google App client. Next, we visit key concepts such as OAuth, REST, JSON and how to implement them in 4D. Finally, we’ll look at ways to design a modular component with generic deployment in mind. ","1","1","52","3.63",
"47","PayPal Payment Integration","2","Européen","11:45","12:40","2012-11-15T19:07:00.000Z",,,"Modernization, Development","Paypal is the most popular payment solution for online business. Different integration methods are available, depending on your specific needs. This session will help you choose the most adapted process, as well as give you some reusable 4D source code that will be the keys to starting your integration.","1","1","21","3.725",
"48","Why 4D over Filemaker","2","Gold","14:00","15:00","2012-10-25T23:57:00.000Z",,,"4D over Filemaker","Why 4D over Filemaker?","1",,"0","4.8",
"49","Time Machine for 4D","2","Regency Ballroom","15:15","16:15","2012-10-25T23:57:00.000Z",,,"Modernization, Development","The design object access in 4D v13 makes it easy to use standard revision control software for 4D projects. But why not write the whole thing in 4D? A custom-built system allows for better integration with the 4D IDE, is not restricted to code only, and it can be adapted to different development processes and organizational structures. This session discusses revision control for 4D in general and introduces a flexible version control component.","1","1","0","4.181818181818182",
"50","Key-Value Pair Dictionary","2","Crystal","15:15","16:15","2012-10-25T23:57:00.000Z",,,"Optimization, Development, Best Practices","This session will introduce a new component (which is in itself a revision of older ones). The component implements an abstract data structure known as key-value pairs.   This component can be used as an Object Tools, XML Bags or Variables on Demand alternative.  A novel syntax has been developed for the component allowing the retrieval of values by a totally text based mechanism.  This component combined with Dynamic Variables (introduced in v12) can dramatically decrease the memory footprint of your 4D app.  Other techniques will also be demonstrated such as anonymous process dictionaries with automatic garbage collection, preferences and xml export.  We will spend some time going over the simple syntax for getting data into and out of the component.","1",,"0","4.816666666666666",
"51","Mastering the List Box","2","Gold","15:15","16:15","2012-10-25T23:57:00.000Z",,,"Productivity, Development","Over the last three versions of 4D, the List Box object has matured into one of the most powerful and versatile form objects available to developers. The 4D v13 List Box provides the developer with a grid tool so dynamic that one generic project form can be created and used to replace every table list/output form in the database. This session will show advanced List Box techniques to build dynamic table list forms, and how a limited number of project forms can be used to replace traditional table forms in a database. The session will move fast and provide lots of code examples, so be ready to learn!","1","2","0","4.725",
"52","Wrap up/Award Ceremony/Q&A","2","Regency Ballroom","16:30","17:30","2012-10-25T23:57:00.000Z",,"true",,,,,"0",,
"53","An Evening with 4D","2","Le Tapis Rouge","19:30","00:00","2012-11-15T10:36:00.000Z",,"true",,,,,"0",,
"54","Welcome Coffee","3","","08:00","09:00","2012-11-17T11:41:00.000Z",,"true",,,,,"0",,
"55","Welcome ","3","France","09:00","09:10","2012-11-17T11:41:00.000Z",,"true",,,,,"0",,
"59","JS Everywhere: The Full JavaScript Stack","3","France","09:40","10:10","2012-11-17T11:42:00.000Z",,"false","JavaScript","JS Everywhere: The Full JavaScript Stack","1","3","20","4.575",
"58","Secured Business Web Applications in the Cloud","3","France","09:10","09:40","2012-11-17T11:42:00.000Z",,,"Cloud, Device API, Firefox OS, HTML5, Marketplaces, Mobile, Web Applications","This spring, Mozilla will launch Firefox OS, a new mobile operating system based on HTML and JavaScript. Devices running Firefox OS will be part of an Apps ecosystem based on the open web. The ecosystem includes a Marketplace for discovering and installing Apps; a Web Runtime for providing a native app experience on every supported device; an """"Apps in the Cloud"""" service for synchronizing Apps across all your devices.  In this talk, Mozilla Labs Engineering Manager Bill Walker will discuss the architecture and design of the Apps ecosystem and demonstrate how you can use the open web as your platform to deliver a native app experience on laptops, tablets, and smartphones.","1","4","10","4.1",
"64","Building Beautiful and Interactive Windows 8 Apps with JavaScript, HTML5 & CSS3","3","Parisien","14:00","15:00","2012-11-17T12:19:00.000Z",,,"Windows 8, CSS3, HTML5, JavaScript, Metro App","This session outlines some of what you can do with new HTML5 and CSS3 features introduced in Internet Explorer 10. Internet Explorer 10 is the browser for rendering modern (HTML5/CSS3) standards-compliant websites. It is also one of the foundations for Metro style app development on Windows 8.","1",,"0","3.875",
"89","Apponomics","3","Regency","13:00","14:00","2012-10-26T21:38:00.000Z",,,"Android Market, App Stores, iOS, Mobile, Nook store, Web Applications","You’ve got a great idea for a mobile app. You have a team together. You’re building the killer app. Do you know enough about the various app stores to know what to do next? How about pricing strategies for iOS and Android? Have you thought about the Nook Color and Amazon Fire? In this session, I’ll bring my experience as CTO of TripLingo, an awesome company developing foreign language learning apps. TripLingo has been featured on the iOS store a dozen times, as well as the Android Market and Nook store.","1",,"0","5",
"67","End-to-End W3C APIs","3","Crystal","10:10","10:40","2012-11-17T11:45:00.000Z",,,"W3C, HTML5, JavaScript, Server-Side,  JavaScript, Wakanda, Web Standards",,"1","1","0","3.45",
"68","The Enyo Framework","3","Gold","11:00","11:30","2012-10-26T23:36:00.000Z",,,"Enyo, Framework, HTML5, JavaScript, Web Applications","A brief look at the history of the Enyo framework and a deeper look at the core concepts and functionality of this cross-platform/cross-browser JavaScript application development framework. Learn about the Enyo component architecture and optional modules, such as the Onyx widget set and the layout library.","1",,"0",,
"69","RaptorJS: A Modular JavaScript Framework","3","Crystal","11:30","12:00","2012-10-26T23:36:00.000Z",,,"Server-Side JavaScript, JavaScript, JavaScript Loader, Node.js, rhino","In this talk, we will share with you RaptorJS, a recently open sourced JavaScript toolset developed at eBay for creating modules and managing dependencies that facilitates the creation of modular, easily maintainable, and easily testable JavaScript applications. RaptorJS was designed to work with your existing JavaScript libraries — not replace them. What sets this toolset apart from others like it is that it allows for modules to be packaged and loaded differently based on the target environment. Now you can easily target specific code for different browsers and devices and the same module can be used in multiple JavaScript environments — including server-side JavaScript environments such as Node and Rhino. In addition, the RaptorJS optimizer will automatically bundle and minify your code for optimal delivery.","1",,"0","3.85",
"70","Enabling the Real-Time Web on Any Device, Anywhere","3","Gold","11:30","12:00","2012-10-26T23:36:00.000Z",,,"Real-Time Web, HTML5, JavaScript, Mobile","The Web is changing, users no longer want to just be social, they want to interact and participate in real-time. They want to chat, vote, play and see results instantly. Delivering real-time Web and mobile apps that work seamlessly across all devices, browsers and networks anywhere in the world is hard and can costs millions of dollars – just ask Skype, WebEx or Facebook. This session will use a live app built with HTML5, JavaScript and PubNub to demonstrate how to overcome real-time Web challenges! All source code will be available immediately.","1",,"0",,
"71","Coffee Break","3","Market Street Foyer","10:10","10:30","2012-10-26T23:36:00.000Z",,"true",,,,,"0",,
"72","Lunch","3","","12:30","13:30","2012-11-17T12:07:00.000Z",,"true",,,,,"0",,
"75","From Continuous Integration to Continuous ","3","Crystal","13:00","13:30","2012-10-26T17:28:00.000Z",,,"Continuous Delivery, Project Managment, Web Applications","Follow along as we go through how we at RemoteX changed from running a nightly build with manual deployment to production, to a completely automated continuous delivery pipeline. Hear the lessons we’ve learned along the way, and hear about some of the benefits we’ve seen from automating our delivery model and get some ideas as to how it might be accomplished.","1",,"0","4.275",
"76","MongoDB <3 JavaScript","3","Gold","13:00","13:30","2012-10-26T17:29:00.000Z",,,"MongoDB, Node.js, NoSQL, Server-Side JavaScript","MongoDB has a history of love for JS, from its shell, to the data model, and now with dedicated support of two different open source Node.js modules (the official driver and Mongoose). Come along and see how building resilient applications with Node.js and MongoDB can be highly productive, scalable, and fun. ","1",,"0","3.75",
"77","Socket io & RealTime & Mongo Tail-able Cursors, Oh My!","3","Crystal","13:30","14:00","2012-10-26T17:29:00.000Z",,,"Real-time APIs","Programmers are building and designing Web APIs, often before the Web or mobile experience. Real-time APIs are now becoming more prevalent with the acceptance of WebSockets and Node.js. In this talk, we will walk through a Socket.io ‘push’ application that uses MongoDB capped collections and a simple Javascript client. ","1",,"0","3.3",
"78","High Order Flow Control in JavaScript Applications","3","Gold","13:30","14:00","2012-10-26T17:28:00.000Z",,,"Asynchronous, JavaScript, jQuery, Web Applications","Modern JavaScript applications must interact with a variety of disparate systems and combine data from multiple sources. JavaScript excels in highly-evented asynchronous applications. Using underscore and jQuery. Deferred, we can apply functional programming techniques to shape, transform, and query data in a domain-centric, maintainable way to control the flow of data through applications. Temporal decoupling in JavaScript applications can improve performance, reliability, and control over data for increasingly powerful and complex Web apps.","1",,"0","4.225",
"79","JS in the front; REST in the back","3","Regency","14:00","14:30","2012-10-26T17:28:00.000Z",,,"Backbone.js, Framework, JavaScript, REST","In traditional Web apps, we put as much of our app into the server-side as we could – our data, our templates, our logic. But nowadays, it makes more sense to put as much of our app into the client-side as possible, using libraries like BackboneJS to architect it. Based on my experience in rewriting Coursera admin from a traditional app to a client-centric app, I’ll try and convince you why you should reverse your stack and show you how we did it, using JavaScript libraries like BackboneJS and RESTful APIs.","1",,"0","4.2375",
"80","Mobile Web App Development with PhoneGap Build","3","France","15:50","16:20","2012-11-17T12:27:00.000Z",,,"Cordova, HTML5, Mobile, PhoneGap, Web Apps","Want to see what the PhoneGap/Cordova team is working on to improve your productivity in developing mobile apps? This is the talk for you! Steve Gill will be going over the new PhoneGap CLI tools to show you how easy we are making it to develop your applications! This talk will include a brief PhoneGap overview followed by the CLI demos. Steve will also be demonstratinging some new features that have recently been introduced to PhoneGap Build.","1",,"0",,
"81","Monads, Monoids, and Make Believe","3","Gold","14:00","14:30","2012-10-26T17:28:00.000Z",,,"Functional Programming, JavaScript","Come with me on a magical journey through functional programming’s most useful typeclasses. We’ll examine the mighty functor, gawk at those silly applicatives, watch a group of monoids combine, and observe how some monads behave when placed in a new habitat. I’ll be writing in JavaScript and speaking in English. Bring 3D glasses.","1",,"0",,
"82","Coffee Break","3","","15:00","15:10","2012-11-17T12:21:00.000Z",,"true",,,,,"0",,
"83","Apathy is the Enemy of Awesome","3","Regency","14:40","15:20","2012-10-26T17:28:00.000Z","true",,"Project Management, Teamwork","A lot of this starts with a good process. A process that serves every team member. And most importantly, one that facilitates productive communication and collaboration, a critical requirement for good work. In her session, Nancy will discuss a framework for approaching interactive projects, outline how to collaborate and communicate well (no matter what role you play on the team), and articulate the kind of thinking that’s required for successful, effective results","1",,"0","4.77",
"84","Fiddler and Your Website","3","Crystal","14:40","15:20","2012-10-26T17:28:00.000Z",,,"Web Performance, HTTP","Fiddler is a great free tool for monitoring HTTP traffic between clients and Web servers. It is very helpful for troubleshooting Web sites and for gauging performance. Review the basic features and explore advanced techniques for tracing traffic with remote devices.","1",,"0",,
"85","Better Taste, Less Filling: JS in your JVM","3","Gold","14:40","15:20","2012-10-26T17:28:00.000Z",,,"Java, JavaScript, JVM, rhino, Server-Side JavaScript","JVM developers need not be held hostage by the Java language. JavaScript for the JVM is available, but making it a first class member of your application can be tricky. This talk will focus on libraries, tools, and techniques that the team at Cue (cueup.com) uses to make JavaScript in Java fun, easy, and efficient. You’ll learn how to use JS 1.8 in your runtime, update applications without recompiling, run JUnit backed JS tests with just a browser reload, and provide an interactive console in your application.","1",,"0",,
"86","Keynote","3","France","17:00","17:30","2012-11-17T12:38:00.000Z",,"true",,,,,"0",,
"87","Tech journey @eBay","3","Rengency","16:30","17:00","2012-10-26T17:28:00.000Z",,"false","js.EveryWhere()","Using JavaScript Everywhere ","1",,"0","4.9",
"88","Round Table MCed by Lyle Troxell, host of GeekSpeak on NPR Douglas Crockford – Laurent Ribardière – Estelle Weyl – Dio Synodinos – Michel Chaize","3","France","17:30","18:00","2012-11-17T12:38:00.000Z",,"true",,,,,"0",,
"170","Troubleshooting Processes and Tools (French)","2","Européen","10:45","11:40","2012-11-15T15:49:00.000Z",,,"Troubleshooting","This session covers the different processes and tools to use based on the type of problem encountered. This approach will help you save time identifying your problems in production and to correct them as quickly as possible. Demonstrations given during the session will help you better use the troubleshooting tools in the future. All of these processes will subsequently be available via the TAOW (Technical Assistance on the Web) Web app.","1","1","80","4.2625",
"92","Welcome Coffee","4","","08:00","09:00","2012-11-16T12:47:00.000Z",,"true","","",,,"0",,
"93","Wakanday Keynote","4","Salon France","09:00","09:30","2012-11-16T12:47:00.000Z",,"false","Wakanday Keynote","Wakanday Keynote","1",,"80","4.59375",
